,username,full_text,tweet_clean,english_text,label
21,MOHEOfficial,[INFOGRAFIK] PENDIDIKAN TVET &amp; KECERDASAN BUATAN (AI) BANTU LAHIRKAN LEBIH RAMAI BAKAT BERKEMAHIRAN TINGGI Bagi melahirkan lebih ramai bakat tempatan berkemahiran di kalangan anak muda kita juga telah laksanakan kerjasama dengan gergasi industri dalam menstruktur semula https://t.co/36GiErwmNi,infografik pendidikan tvet amp kecerdasan buatan ai bantu lahirkan ramai bakat berkemahiran melahirkan ramai bakat tempatan berkemahiran kalangan anak muda laksanakan kerjasama gergasi industri menstruktur,"tvet education infographic amp artificial intelligence ai helps produce many talents, skills, gives birth to many local talents, skills among young people, carries out giant industrial collaborations, structures",positive
22,GonewsGroupID,Nvidia mendorong Kenaikan Pasar Saham Rekor Tertinggi US$2 triliun: Saham-saham AS melonjak pada hari Kamis melampaui rekor tertinggi didorong oleh laba besar dari perusahaan kecerdasan buatan Nvidia (NVDA). - https://t.co/erEKXzzOgK https://t.co/DiB8vkEA6r,nvidia mendorong kenaikan pasar saham rekor tertinggi us triliun sahamsaham as melonjak kami melampaui rekor tertinggi didorong laba perusahaan kecerdasan buatan nvidia nvda,nvidia drives US stock market to record high,positive
23,SinarOnline,Bunga muka kucing tidak wujud Menggunakan teknologi kecerdasan buatan (AI) penipu atau 'scammers' dikesan menjual benih pokok bunga berwajah kucing yang sebenarnya tidak wujud. Benih tumbuhan diberi nama seperti 'Cats Eye Dazzle' itu dijual di pelbagai platform e-dagang https://t.co/ugrGcBBiOS,bunga muka kuce wujud teknolog kecerdasan buatan ai penipu scammer dikesan menjual benih pokok bunga berwajah kuce wujud benih tumbuhan nama cat eye dazzl dijual pelbagai platform edagang,Kuce-faced flowers appear in the form of artificial intelligence technology AI fraudsters scammers are believed to be selling tree seeds of the Kuce-faced flowers in the form of plant seeds with the name Cat Eye Dazzl sold on various trading platforms,negative
24,qurratulain95,Kecerdasan buatan (artificial intelligence) adalah produk kolonialisme. Mungkin kita kena bersedia untuk berbahas tentang ini data-data masih cenderung mengikut jalur fahaman kolonial. Begitu usaha nyahkolonisasi harus termasuk dalam hal kecerdasan buatan seperti ChatGPT.,kecerdasan buatan artifici intellig produk kolonialism kena bersedia berbaha datadata cenderung mengikut jalur fahaman koloni usaha nyahkolonisasi kecerdasan buatan chatgpt,artificial intelligence artificial intelligence products of colonialism subject to willingness to speak data tend to follow the path of colonial understanding attempts to colonize artificial intelligence chatgpt,negative
25,JPenerangan,Perdana Menteri YAB Dato' Seri Anwar Ibrahim berkata latihan berkaitan kecerdasan buatan (AI) dan Latihan Teknikal dan Vokasional (TVET) mesti memberi peluang kepada semua penduduk di setiap kawasan bagi mengelakkan perbezaan keupayaan antara kawasan bandar dan pedalaman. https://t.co/7jSGSKJKJr,perdana menteri yab dato seri anwar ibrahim latihan berkaitan kecerdasan buatan ai latihan teknik vokasion tvet mesti peluang penduduk kawasan mengelakkan perbezaan keupayaan kawasan bandar pedalaman,prime minister yab dato seri anwar ibrahim training related to artificial intelligence ai training vocational techniques tvet must be an opportunity for regional residents to avoid the differences in capabilities of inland urban areas,negative
26,JPenerangan,Menteri Pendidikan Tinggi YB Senator Dato' Seri Diraja Dr. Zambry Abdul Kadir berkata justeru penubuhan Fakulti Kecerdasan Buatan (AI) Universiti Universiti Teknologi Malaysia (UTM) akan menjadi penanda aras tahap kesediaan negara - https://t.co/2MymFhulVK,menteri pendidikan yb senat dato seri diraja dr zambri abdul kadir justeru penubuhan fakulti kecerdasan buatan ai univers univers teknolog malaysia utm penanda ara tahap kesediaan negara,Minister of Education YB Senate Dato Seri Diraja Dr Zambri Abdul Kadir Justeru Establishment of Faculty of Artificial Intelligence AI Univers Univers Technologists Malaysia UTM Marker Stage of State Willingness,negative
27,JPenerangan,DBOOK PENERANGAN | RISALAH TEKNOLOGI KECERDASAN BUATAN https://t.co/OgZtncuGNS #DbookPenerangan #MalaysiaMADANI #JabatanPenerangan https://t.co/bGhuIUAtDp,dbook penerangan risalah teknolog kecerdasan buatan dbookpenerangan malaysiamadani jabatanpenerangan,dbook information artificial intelligence technology treatise dbookpenerangan malaysiamadanikerjaanpengerahan,negative
28,PenangJapen,Berikut merupakan empat teras ekosistem teknologi kecerdasan buatan AI. Rujuk pautan AI Untuk Rakyat https://t.co/w5BlwIkHJJ. untuk maklumat lanjut. #MalaysiaMADANI #JabatanPenerangan #JapenPenang https://t.co/NxhKcY4Jm2,tera ekosistem teknolog kecerdasan buatan ai rujuk pautan ai rakyat maklumat malaysiamadani jabatanpenerangan japenpenang,tera ecosystem technology artificial intelligence ai reference ai people information malaysiamadani jasapenenang japenpenang,negative
29,MOHEOfficial,[VIDEO] Ikuti pandangan daripada para pelajar IPT mengenai teknologi Kecerdasan Buatan (AI). @ZambryOfficial @MustaphaSakmud_ @DrZainiUjang #MalaysiaMADANI https://t.co/tl1pZAjWlC,video ikuti pandangan pelajar ipt teknolog kecerdasan buatan ai malaysiamadani,video follow student view ipt technology artificial intelligence ai malaysiamadani,negative
30,beritartm,Isu penyalahgunaan teknologi kecerdasan buatan (AI). Menurut Menteri Komunikasi Fahmi Fadzil tindakan proaktif akan diambil bagi meneliti isu tersebut supaya tidak merosakkan industri kreatif negara. @fahmi_fadzil @komunikasi_gov @MCMC_RASMI @RTM_Malaysia @JPenerangan #RTM https://t.co/tq4UV95sr7,isu penyalahgunaan teknolog kecerdasan buatan ai menteri komunikasi fahmi fadzil tindakan proaktif diambil menel isu merosakkan industri kreatif negara rtm,the issue of misuse of artificial intelligence technology AI Minister of Communications Fahmi Fadzil Proactive action taken to address the issue of damaging the country's creative industry RTM,neutral
31,bernamadotcom,Langkah Kerajaan menerapkan penggunaan Artificial Intelligence (kecerdasan buatan) dalam bidang pendidikan dilihat dapat memastikan generasi akan datang siap menghadapi perkembangan digitalisasi. Nak dengar apa reaksi masyarakat? Mari tonton video ini. #BernamaNews #VideoBernama https://t.co/551woVudBD,langkah kerajaan menerapkan penggunaan artifici intellig kecerdasan buatan bidang pendidikan generasi menghadapi perkembangan digitalisasi nak dengar reaksi masyarakat mari tonton video bernamanew videobernama,"The government's steps to implement the use of artificial intelligence in the field of education are generations facing the development of digitalization. Want to hear the public's reaction, let's watch the video named new video named",negative
32,MOHEOfficial,[VIDEO] Ikuti pandangan daripada pihak industri dan pakar universiti mengenai teknologi Kecerdasan Buatan (AI). @ZambryOfficial @MustaphaSakmud_ @DrZainiUjang #MalaysiaMADANI https://t.co/GgUDHS3R47,video ikuti pandangan industri pakar univers teknolog kecerdasan buatan ai malaysiamadani,video follow industry expert view artificial intelligence technologist ai malaysiamadani,negative
33,changlihkang,Perdana Menteri YAB Dato Seri @anwaribrahim hari ini telah melancarkan Malaysia Artificial Intelligence Nexus 2024 (MY AI NEXUS) di PWTC. Ini merupakan satu program khas yang bertujuan untuk menyatukan pakar-pakar tersohor dalam bidang kecerdasan buatan (artificial https://t.co/SAazItbaLm,perdana menteri yab dato seri melancarkan malaysia artifici intellig nexu my ai nexu pwtc program kha bertujuan menyatukan pakarpakar tersohor bidang kecerdasan buatan artifici,Prime Minister Yab Dato Seri launches Malaysia Artificial Intelligence Nexu My AI Nexu PWTC Kha program aims to bring together renowned experts in the field of Artificial Intelligence,negative
34,humaspoldajbr,Kecerdasan buatan atau Artificial Intelligence (AI) saat ini sedang menjadi trending topic diberbagai kalangan Namun apakah Teknologi AI saat ini aman digunakan untuk anak-anak ? simak penjelasanya pada artikel di atas @divisihumaspolri @spripim.polri https://t.co/CK86g8NTGp,kecerdasan buatan artifici intellig ai trend topic diberbagai kalangan teknolog ai aman anakanak simak penjelasanya artikel polri,artificial intelligence artifici intellig ai trend topic in various technological circles ai safe for children see the explanation in the police article,negative
35,komunikasi_gov,Syarikat pembinaan disaran manfaatkan sepenuhnya teknologi kecerdasan buatan (AI). YB Datuk Seri Ahmad Maslan Timbalan Menteri Kerja Raya #KementerianKomunikasi #MalaysiaMADANI https://t.co/9V3DSpnVNP,syarikat pembinaan disaran manfaatkan sepenuhnya teknolog kecerdasan buatan ai yb datuk seri ahmad maslan timbalan menteri kerja raya kementeriankomunikasi malaysiamadani,Development companies are advised to make full use of AI YB artificial intelligence technology Datuk Seri Ahmad Maslan Deputy Minister of Public Works Ministry of Communication Malaysia Madani,negative
36,EkonomiRakyatMY,Fakulti Kecerdasan Buatan (AI) yang pertama di Malaysia bakal dirasmikan pada 10 Mei ini kata Menteri Pendidikan Tinggi Datuk Seri Dr Zambry Abdul Kadir Beliau berkata PM Datuk Seri Anwar Ibrahim dijangka menyempurnakan majlis perasmian itu yang akan berlangsung di WTCKL https://t.co/g542NxxO5l,fakulti kecerdasan buatan ai malaysia dirasmikan mei menteri pendidikan datuk seri dr zambri abdul kadir beliau pm datuk seri anwar ibrahim dijangka menyempurnakan majli perasmian wtckl,AI Malaysia Faculty of Artificial Intelligence was inaugurated in May Minister of Education Datuk Seri Dr Zambri Abdul Kadir He PM Datuk Seri Anwar Ibrahim is expected to complete the wtckl inauguration ceremony,negative
37,amanz,Malaysia Menduduki Tangga Kedua Dari Segi Indeks Ketersediaan Kecerdasan Buatan Di Asia Tenggara https://t.co/zCk7ssIske https://t.co/DX0YbijVEg,malaysia menduduki tangga segi indek ketersediaan kecerdasan buatan asia tenggara,Malaysia tops the list of Southeast Asian artificial intelligence availability indices,negative
38,japenselangor1,Kapsul JAPENTV | AI Untuk Rakyat AI Untuk Rakyat - Program pembelajaran kendiri dalam talian yang direka untuk meningkatkan kesedaran orang ramai tentang Kecerdasan Buatan - Artificial Intelligence (AI). Ia bertujuan untuk memberi penjelasan tentang AI kepada semua -,kapsul japentv ai rakyat ai rakyat program pembelajaran kendiri talian direka meningkatkan kesedaran orang ramai kecerdasan buatan artifici intellig ai bertujuan penjelasan ai,japentv capsule AI people AI people online independent learning program designed to increase public awareness artificial intelligence artificial intelligence aims to explain AI,negative
39,Scoopdotmy,Datuk Seri @anwaribrahim menegaskan Malaysia harus diangkat sebagai sebuah negara yang hebat bukan sahaja daripada segi cabaran menghadapi kecerdasan buatan (AI). https://t.co/aiaHNx5eE2,datuk seri malaysia diangkat negara hebat sahaja segi cabaran menghadapi kecerdasan buatan ai,Malaysia's Datuk Seri was appointed as a great country in terms of the challenge of facing AI artificial intelligence,positive
40,ZAMANe_id,Bikin Mobil Pakai Mesin Cetak 3D dan Kecerdasan Buatan - zaman https://t.co/2BmTvTLoKl Kecerdasan buatan dan pencetakan 3-dimensi bisa merevolusi pembuatan mobil mulai dari tahap desain hingga manufaktur.,bikin mobil pakai mesin cetak d kecerdasan buatan zaman kecerdasan buatan pencetakan dimensi merevolusi pembuatan mobil tahap desain manufaktur,make a car using a printing machine d artificial intelligence era of artificial intelligence dimensional printing revolutionizes car making manufacturing design stage,negative
41,Senggiaw,Robotarium dan Pusat Bayes untuk penyelidikan kecerdasan buatan AI yang boleh memberi sumbangan kepada perkembangan pesat AI. Ia membantu manusia dalam pelbagai bidang. Yang baik juga ada keburukan semacam penipuan. Ini perlu ditadbir urus dengan berkesan. https://t.co/gVq5L8Wgk8,robotarium pusat bay penyelidikan kecerdasan buatan ai sumbangan perkembangan pesat ai membantu manusia pelbagai bidang keburukan penipuan ditadbir uru berkesan,central bay robotarium research artificial intelligence ai contribution rapid development ai helps humans in various areas of crime fraud is administered effectively,neutral
42,liputan6dotcom,Warga dewasa AS berpendidikan tinggi menelaah pergeseran persepsi warga terhadap teknologi kecerdasan buatan atau AI. #EnamPlus Dapatkan berita menarik lainnya via WhatsApp dengan follow WhatsApp Channel Liputan6 di sini https://t.co/JShucRsoIQ https://t.co/vll4uDLQmo,warga dewasa as berpendidikan menelaah pergeseran persepsi warga teknolog kecerdasan buatan ai enamplu dapatkan berita menarik via whatsapp follow whatsapp channel liputan,Educated US adults examine shifts in citizen perception AI AI technology engineer Sixplu Get interesting news via WhatsApp Follow WhatsApp channel coverage,positive
43,JapenSarawak,Berikut merupakan empat teras ekosistem teknologi kecerdasan buatan AI. Rujuk pautan AI Untuk Rakyat https://t.co/3L7yitKfe4. untuk maklumat lanjut. #MalaysiaMADANI #JabatanPenerangan,tera ekosistem teknolog kecerdasan buatan ai rujuk pautan ai rakyat maklumat malaysiamadani jabatanpenerangan,tera ecosystem technology artificial intelligence ai reference ai people information malaysiamadani jasapenenangan,negative
44,asumsico,Apple memperkenalkan chip M4 sebagai chip yang dapat mendukung kinerja kecerdasan buatan atau AI Selasa (7/5/2024). Chip M4 hadir dengan Neural Engine tercepat yang bisa dikembangkan Apple dan mampu melakukan hingga 38 triliun operasi per detik. Apple mengeklaim kemampuan itu https://t.co/2l3STKtvLF,appl memperkenalkan chip m chip mendukung kinerja kecerdasan buatan ai selasa chip m hadir neural engin tercepat dikembangkan appl triliun operasi detik appl mengeklaim kemampuan,Appl introduces M chip Chip supports AI performance,neutral
45,elipsis_subhan,Secanggih apa pun kecerdasan buatan (AI) dia tetap robot; mesin tdk mempunyai jiwa . Fungsinya sebatas alat (tools). Jangan sampai alat memperalat yg mengendalikan alat. Nanti kiamat. AI tetap membutuhkan sentuhan kreativitas manusia agar karya yang dihasilkannya manusiawi . https://t.co/4idRDlUaNH,secanggih kecerdasan buatan ai robot mesin tdk jiwa fungsinya sebata alat tool alat memperalat yg mengendalikan alat kiamat ai membutuhkan sentuhan kreativita manusia karya dihasilkannya manusiawi,"as sophisticated as artificial intelligence, AI, robot, soulless machine, its function is merely a tool, a tool that controls the AI ​​doomsday device, it requires a touch of human creativity, the work it produces is human.",negative
46,Metro_TV,Dana Moneter Internasional (IMF) memprediksi 60% pekerjaan di negara maju akan terdampak oleh teknologi kecerdasan buatan Artificial intelligence (AI). https://t.co/MmDsL4Wt6X,dana monet internasion imf memprediksi pekerjaan negara maju terdampak teknolog kecerdasan buatan artifici intellig ai,IMF International Monetary Fund predicts jobs in developed countries will be affected by artificial intelligence technology.,negative
47,beritartm,Universiti Teknologi Malaysia (UTM) bakal menjadi perintis yang melahirkan kepakaran dan tenaga kerja mahir dalam bidang Kecerdasan Buatan (AI). https://t.co/rakMgtuUL2 Malaysia MADANI: Tekad Perpaduan Penuhi Harapan 'Yang sahih di Berita RTM' #RTM #BeritaRTM #MalaysiaMADANI https://t.co/rIioJcJN42,univers teknolog malaysia utm perinti melahirkan kepakaran tenaga kerja mahir bidang kecerdasan buatan ai malaysia madani tekad perpaduan penuhi harapan sahih berita rtm rtm beritartm malaysiamadani,Univers Technolog Malaysia UTM Perinti produces skilled workforce expertise in the field of artificial intelligence AI Malaysia Madani Unity's determination to fulfill expectations Sahih Berita RTM RTM Beritartm Malaysia Madani,negative
48,HendriansyahRea,Dengan memanfaatkan kecerdasan buatan BTN membawa layanan perbankan ke level berikutnya dengan meningkatkan efisiensi dan kualitas layanan. #btnjakim #btnmelesat https://t.co/1SXIbX9eU1,memanfaatkan kecerdasan buatan btn membawa layanan perbankan level meningkatkan efisiensi kualita layanan btnjakim btnmelesat,"Leveraging BTN's artificial intelligence to bring banking services to a higher level, increasing efficiency, BTNjakim BTN's service quality is skyrocketing",negative
49,Bernama_Radio,Malaysia harus teroka potensi kerjasama bersama Qatar dalam sektor kecerdasan buatan rebut insentif berjumlah 9 bilion riyal Qatar - PM @anwaribrahim https://t.co/2bK66erFuj,malaysia teroka potensi kerjasama qatar sektor kecerdasan buatan rebut insentif bilion riyal qatar pm,Malaysia explores potential for Qatar collaboration in artificial intelligence sector to win billion riyal incentives Qatar PM,positive
