full_text,tweet_clean,english_text,label
tebak topik diskusi hison a. etika dalam penggunaan AI dalam kehidupan sehari hari b. dampak globalisasi terhadap identitas budaya lokal c. pengaruh oligarki dalam rezim jokowi d. my love can we go back to the way it was? https://t.co/ed2sv5arvO,tebak topik diskusi hison a etika guna ai hidup hari hari b dampak globalisasi identitas budaya lokal c pengaruh oligarki rezim jokowi d my love can we go back to the way it was,Guess the topic of Hison Discussion of Ethics for AI Life Day B Impact of Globalization of Local Cultural Identity c Effect of Jokowi Regime Oligarchy D My Love Can We Go Back To The Way It Was,positive
Dampak AI pada pendapatan BLACKPINK dan BABYMONSTER. Cr. Koreaboo musicmagpie #BLACKPINK #BABYMONSTER #yg #ygent #ygentertainment https://t.co/7o5C21Dvlo,dampak ai dapat blackpink babymonster cr koreaboo musicmagpie,the impact of AI can be Blackpink Babymonster Cr Koreaboo Musicmagpie,neutral
Dana Moneter Internasional (IMF) meramal bahwa kecerdasan buatan (AI) dapat membawa dampak terhadap 40 persen pekerjaan di seluruh dunia pada beberapa tahun ke depan. Di negara-negara maju jumlah pekerjaan yang terkena dampak AI bahkan akan mencapai 60 persen. Sementara di https://t.co/HWecg1MPxk,dana moneter internasional imf ramal cerdas buat ai bawa dampak persen kerja seluruh dunia beberapa tahun depan negaranegara maju jumlah kerja kena dampak ai bahkan capai persen,IMF International Monetary Fund Ramal Smart for AI Bring the Impact of the Work Percent of the World of the World in the next few years the Developed Countries The number of work is affected by AI and even achieved percent,positive
Well ini kocak karena tugas buat maba nya pas ospek adalah bikin esai dengan tema dampak psikologis penggunaan AI dan etika mhs menyikapi AI di bidang akademik Daripada tugasnya dikasih ke maba mending kasih ke bapaknya.. https://t.co/14FSvVqSJC,well kocak tugas buat maba nya pas ospek bikin esai tema dampak psikologis guna ai etika mhs sikap ai bidang akademik tugas kasih maba mending kasih bapak,Well the task of making it a mab of the oven to make the theme of the psychological impact using the ethics of the mhs attitude of the academic field of love for love,positive
Dengan sistem AI target serangan pada musuh makin akurat. Gila kemajuan AI ada dampak positif nya tapi dampak negatif lebih ngeri bila disalahgunakan. Influencer Batak Jawa Mudik https://t.co/NwCaazcsGz,sistem ai target serang musuh makin akurat gila maju ai dampak positif nya dampak negatif lebih ngeri bila disalahgunakan influencer batak jawa mudik,"AI System The target of the enemy attack is more accurate, crazy advances, the positive impact of the negative impact is more horrified when misused by the Javanese Batak Influencer",positive
Dampak kemajuan teknologi Ai.. *Nyang paling kanan sapah yak? https://t.co/1MIhKiIgt3,dampak maju teknologi ai nyang paling kanan sapah yak,impact technology advanced because it's the right right of sapah.,positive
Ancaman Artificial Intelligence (AI) dalam Pendidikan Selain berbagai manfaat yang memberikan segala kemudahan dalam pendidikan AI juga memberikan dampak buruk dan juga ancaman dalam dunia pendidikan. Melansir dari Digiexam berikut ini berbagai ancaman Artificial Intelligence https://t.co/Ez0u63G2mO,ancam artificial intelligence ai didik bagai manfaat beri segala mudah didik ai beri dampak buruk ancam dunia didik lansir digiexam ikut bagai ancam artificial intelligence,Threaten Artificial Intelligence Didik As a benefit to Giving Everything Easily Student Ai Give the Bad Impact of the World's Disbursement Divine Divine Digiexam Authorized As a Threatent Artificial Intelligence,negative
Dampak AI dalam kehidupan kita sehari2. Moral : adalah sesuatu yang bisa atau akan kita lakukan untuk mengantisipasi hal ini ? Perlukan kita mengupgrade diri kita ? Agar secara langsung atau tidak langsung kita bisa tereliminasi dari kehidupan kita sendiri. https://t.co/QvYSNCjWM6,dampak ai hidup hari moral laku antisipasi perlu mengupgrade diri langsung langsung eliminasi hidup sendiri,Impact of AI Life of Moral Day Anticipation needs to upgrade yourself directly directly elimination of life alone,positive
VIDEO: Dampak AI di Lapangan Kerja AS Cemaskah Profesional Diaspora? https://t.co/AoLeVMUGaD,video dampak ai lapang kerja as cemas profesional diaspora,Video Impact of AI Work AS AS EXCELLENT PROFESSIONAL DIASPORA,positive
Implementasi AI di dunia medis sekalipun sederhana bisa punya dampak luar biasa. Cek studi ini: Impelementasi AI yg memberitahu dokter risiko kematian pasien bermodalkan 1 hasil EKG saja scr signifikan menurunkan kejadian kematian pada 90 hari. https://t.co/D6uyEV2tvF,implementasi ai dunia medis sekalipun sederhana punya dampak luar biasa cek studi impelementasi ai yg memberitahu dokter risiko mati pasien modal hasil ekg scr signifikan turun jadi mati hari,even the implementation of the medical world AI has a simple impact checking the study of AI implementation studies that tell the doctor's risk of death the patient is a significant capital of EKG.,positive
AI di kehidupan sehari-hari tuh bisa dibilang holy grail banget! Soalnya bikin kegiatan makin mudah dan efektif. Dengan semua kemudahan itu seharusnya proses kamu untuk #JadiLebihBaik juga lebih gampang kan? Jadi yuk mulai langkah pertama kamu dan rasakan dampak positifnya! https://t.co/sd2jGQHbte,ai hidup seharihari tuh bilang holy grail banget soal bikin giat makin mudah efektif semua mudah proses kamu lebih gampang kan jadi yuk mulai langkah pertama kamu rasa dampak positif,"ai live daily, says holy grail really about making active more easily everything is easy to process.",positive
ERA DIMULAINYA KARYA KOLABORASI KREATOR DAN ARTIFICIAL INTELLIGENCE - Pelukis Penulis Musisi Pembuat Film Game Developer Fotographer dalam berkarya mulai menjadikan Artificial Intelligence sebagai asistennya. Dipotret dalam 4 lukisan Denny JA dengan asisten AI https://t.co/BIEG5tToyA,era mula karya kolaborasi kreator artificial intelligence peluk tulis musisi buat film game developer fotographer karya mulai jadi artificial intelligence asisten potret lukis denny ja asisten ai,The Era of Karya Collaboration of Artificial Intelligence Creator Hugs Musicians for Game Developer Film Fotographer Karya began to become Artificial Intelligence Assistant Portrait Painting Denny JA Assistant AI,negative
Dampak Katalis Militer dari AI: Ancaman Risiko dan Peran dalam Keputusan Nuklir - https://t.co/6rEM5eDsxr https://t.co/jvV1VsXtbH,dampak katalis militer ai ancam risiko peran putus nuklir,the impact of the AI ​​military catalyst threatens the risk of nuclear broken roles,negative
Capek. terserah deh tapi gw mau ajak mikir sebentar: - AI ditraining dengan memanfaatkan dataset yang tidak meminta ijin artist2 aslinya (main embat aja) - Hasil gambar dari AI tidak dilindungi oleh hak cipta dan tidak bisa dikomersilkan (jangan protes kalau diembat orang) -,capek serah deh gw mau ajak mikir sebentar ai ditraining manfaat dataset minta ijin artist asli main embat aja hasil gambar ai lindung hak cipta dikomersilkan jangan protes kalau embat orang,"I'm tired of handover, I want to ask me to think for a while, the benefits of dataset ask for permission to the original artist, just play the results of the image of the copyright protection, do not protest if you have a person",negative
Yg jadi problem dari AI adalah kecurangan dan pelanggaran etika yg menyepelekan nilai orisinalitas. Mangkanya senimanlah yg pertama kali paling keras protes. Itu krn seniman sangat menghargai proses dan hasil itu ujung2nya cuma target yg dilupakan stlh dicapai.,yg jadi problem ai curang langgar etika yg sepele nilai orisinalitas mangkanya seniman yg pertama kali paling keras protes krn seniman sangat harga proses hasil ujung cuma target yg lupa stlh capai,"who became a problem with cheating ethics that is trivial, the value of originality of the original artist is the loudest protest because the artist is very the price of the process of the results only the target is forgotten after being tired",positive
Dharma Pongrekun Sebut AI Alat Mata-mata Simak Faktanya https://t.co/0pNdIR8j9h,dharma pongrekun sebut ai alat matamata simak fakta,Dharma Pongrekun Call Ai Matamata Tools Check the Facts,neutral
Deep down ai kalau ama doi beneran ngajarin character development bgt . Sibuk tp selalu meluangkan waktu. Dewasa. Komunikatif. Sabar. Menghargai.,deep down ai kalau ama doi beneran ngajarin character development bgt sibuk tp selalu luang waktu dewasa komunikatif sabar harga,"Deep Down Ai, if I really teach character development",positive
menarik banget dosen aja di kasih ajaran mengenai penggunaan AI dalam pembuatan jurnal AI itu mempermudah kita dalam menghasilkan ide lebih efektif dalam mencari informasi dll. Kalo masih ada yang menolak menggunakan gpt kek heyy. What's going on with you? ,tarik banget dosen aja kasih ajar kena guna ai buat jurnal ai mudah hasil ide lebih efektif cari informasi kalo tolak guna gpt kek heyy whats going on with you,Very pulling the lecturer just give teaching to use for ai for the journal ai easy results of ideas more effectively find information if rejecting for gpt kek heyy whats going on with you,positive
Ngeliat temen-temen gue ngerjain tugas banyak yang pake AI iya sih membantu tapi gue ngerasa skeptis aja takut-takut dosen ada yang gak suka pake AI. Selain itu gue juga meragukan kemampuan AI kayak chatgpt gratis. Apakah gue kudet karena menolak penggunaan AI buat tugas?,ngeliat tementemen gue ngerjain tugas banyak pake ai iya sih bantu gue ngerasa skeptis aja takuttakut dosen gak suka pake ai gue ragu mampu ai kayak chatgpt gratis gue kudet tolak guna ai buat tugas,see my friends doing a lot of homework using ai yes it helps me feel skeptical aja takutkut lecturer do not like to use ai I doubt ai like free chatgpt I'm stubborn reject the use of ai for tasks,negative
Teknologi selalu membawa kemajuan. Namun jika akses dan kepemilikannya hanya di tangan segelintir orang penggunaannya bisa membawa efek negatif bagi masyarakat dan lingkungan. https://t.co/2FwIS5n6C7,teknologi selalu bawa maju akses milik tangan gelintir orang guna bawa efek negatif masyarakat lingkung,Technology always carries forward access belonging to the hands of people to bring negative effects of the community environment,negative
Ah ini seru nih. Kata si Dharma AI itu artificial intelligence dari kata intelijen alias mata-mata. Jadi AI itu alat mata-mata buatan bro! Dipasang buat ngawasin kita 24/7 ngeliat setiap gerakan kita mulai dari belanja online sampai nonton video kucing lucu di YouTube.,ah seru nih kata si dharma ai artificial intelligence kata intelijen alias matamata jadi ai alat matamata buat bro pasang buat ngawasin ngeliat gera mulai belanja online nonton video kucing lucu youtube,Ah excited to say Dharma Ai Artificial Intelligence Words Intellectual Alias ​​Matamata So Ai Matamata Tool for Bro Installation to Make it Earned to Start Online Shopping Watch Funny Cat Videos YouTube,positive
Energi di @Permissionless III sangat menginspirasi sejak hari pertama! Penggemar #AI3.0 berbagi wawasan inovatif tentang demokratisasi #HumanAI. @AutonomysNet sangat bersemangat utk adakan pertemuan berikutnya guna mendorong batas-batas desentralisasi AI demi dampak sosial.,energi iii sangat inspirasi sejak hari pertama gemar bagi wawas inovatif demokratisasi sangat semangat utk adakan temu ikut dorong batasbatas desentralisasi ai dampak sosial,Energy III has been very inspiration since the first day of fond of innovative Democratization Vice Mayor is very enthusiastic to hold a meeting to encourage the boundaries of the decentralization of social impacts,positive
@Jimy_349 @xsotya @convomf AI itu nyuri art orang buat database nya. AI dilatih bikin art pake art para artist artist TANPA IZIN ALIAS MENCURI. Selain mematikan rezeki para artist karena jadi sepi commis + AI juga NYURI artstyle yang susah² mereka kembangin. Alangkah baiknya hindari pake AI ya.,ai nyuri art orang buat database nya ai latih bikin art pake art artist artist izin alias curi mati rezeki artist jadi sepi commis ai nyuri artstyle susah kembangin alangkah baik hindar pake ai,"ai stole the art of people for the database ai training to make artist artist artist artist alias stealing dead rezeki artist so it is quiet ai stole artstyle difficult to develop it, it would be nice to avoid using ai",negative
@AGENDA21_EXPOSE TAPI DIA NGIBULNYA KUADRAT TENTANG AI AI TIDAK DIRANCANG UNTUK MATA-MATA EMANG BADUT SI DHARMA INI AWOAKWOAKK HANYA KARENA ADA KATA INTELLIGENT UDAH DI JUDGE MATA-MATA BRUAAKAKAKAKA GOBLOK! ‍↔️‍↔️‍↔️,ngibulnya kuadrat ai ai rancang matamata emang badut si dharma awoakwoakk kata intelligent udah judge matamata bruaakakakaka goblok,"ngulè gellbulrasa ai designed eyes, withda garlict awakakak said intelligent and hodgka matakaraka rubka.",positive
ni orang (gw) mau masuk DAI tapi denger orang lain jelasin ke temennya bawa bawa kata variabel independen sampel simultan pengaruh aje langsung GEDEIN VOLUME LAGU. gemeter teror MPS sorry,ni orang gw mau masuk dai denger orang jelasin temennya bawa bawa kata variabel independen sampel simultan pengaruh aje langsung gedein volume lagu gemeter teror mps sorry,This person I want to go in DAI hear people explain their friends with a word independent variable simultaneous sample influence Aje immediately gedein the volume of the song gemeter terror mps sorry,negative
Memang tak dinafikan AI ambil alih kerja yang sebelum ni manusia buat. AI lebih efisien tak penat tak mengeluh dan paling penting jimat kos. Company tak payah fikir pasal cuti sakit motivasi atau benefit pekerja. Itu win besar untuk mereka.,memang tak nafi ai ambil alih kerja ni manusia buat ai lebih efisien tak penat tak keluh paling penting jimat kos company tak payah fikir pasal cuti sakit motivasi benefit kerja win besar,"Indeed, I did not Nafi Ai took over the work of humans for AI more efficient not tired not complaining the most important thing",positive
Balik ke topik sini gue jelasin apa itu AI sama mocap. AI itu kecerdasan buatan yang sebenarnya udah ada sejak dulu pernah maen game? Musum kau di game itu juga disebur AI. AI jaman sekarang itu bisa berkembang dengan sendirinya based on data. Jadi kalo lu anggap AI itu~,balik topik sini gue jelasin apa ai sama mocap ai cerdas buat benar udah sejak dulu pernah maen game musum kau game bur ai ai jaman sekarang kembang sendiri based on data jadi kalo lu anggap ai,"back the topic here, I explain what AI is the same as a smart ai to be true, I have always played the game Musum, your game bur ai ai today is based on data so if you think you think",negative
